src_id,dst_id
0,0
0,3
1,21
0,26
2,1293
2,1294
2,1292
0,32
3,42
4,52
0,57
3,61
5,1302
0,73
3,101
6,1306
0,108
0,109
0,110
0,115
0,1307
0,1308
0,118
7,134
1,137
1,43
0,167
0,176
0,177
8,181
0,184
0,194
0,195
0,196
5,199
9,201
2,1323
1,207
1,208
2,213
0,216
0,217
10,218
10,219
10,220
1,226
11,232
0,242
9,31
0,256
12,1328
2,266
2,267
13,1329
14,272
2,277
0,1331
0,1332
3,289
0,294
0,1338
0,111
0,301
1,313
0,291
3,329
3,330
0,1349
1,347
15,348
15,349
15,350
16,138
0,370
0,1304
0,381
2,384
1,386
2,17
17,391
5,1358
0,400
0,401
2,1360
18,413
18,229
18,307
18,414
18,228
18,415
18,5
18,416
3,1355
0,420
5,1291
1,292
1,422
9,423
0,424
0,425
0,426
0,1310
1,18
2,129
3,343
1,442
1,445
1,446
1,99
1,396
3,1368
0,48
0,459
0,1369
2,463
2,464
0,1371
19,1372
5,1376
0,480
20,450
0,489
0,491
21,507
21,508
0,509
0,404
1,518
1,519
1,1386
0,77
0,72
0,529
1,205
0,1395
0,547
0,548
13,1402
13,561
22,531
2,569
9,578
9,579
9,580
9,581
0,1406
0,171
2,597
2,598
2,599
11,1409
11,606
1,612
0,190
0,623
0,624
6,358
0,107
11,647
23,653
0,1420
0,1422
0,676
0,677
0,690
24,691
0,695
0,697
0,667
21,704
21,705
21,706
17,710
25,712
2,714
0,717
0,719
9,293
26,87
27,87
0,728
0,730
1,734
0,282
0,744
0,745
28,755
28,756
1,763
0,1439
5,780
1,782
0,790
0,793
20,795
20,213
20,796
0,795
2,801
2,802
2,803
1,815
0,1450
11,822
11,823
20,1451
20,825
0,490
0,828
0,285
2,831
2,779
2,833
1,683
0,847
0,848
1,850
1,170
1,851
1,852
1,853
29,87
0,481
0,856
0,857
0,859
25,275
11,866
2,869
1,873
2,136
0,156
0,1456
0,886
0,887
9,888
9,70
0,877
0,13
0,903
9,905
30,1463
31,1463
31,913
31,247
0,1464
1,166
1,934
23,500
9,939
9,940
9,941
9,942
9,943
9,944
0,419
0,948
23,949
32,957
0,1480
17,862
17,974
9,718
9,978
0,1483
9,565
13,991
0,993
1,209
0,1325
0,1012
11,1022
11,1023
11,283
2,365
1,656
0,1493
5,1494
2,410
0,1037
2,1496
0,93
0,784
1,162
2,657
0,839
33,1067
6,1071
11,304
2,1072
1,513
0,377
0,71
0,1092
2,87
0,1103
0,1104
0,418
0,1328
0,957
0,1113
0,1119
0,339
1,1129
16,75
16,76
16,1130
0,855
0,1131
0,449
0,1513
0,1133
0,1134
2,281
2,1135
1,151
0,440
0,1144
0,1145
3,1516
2,1151
0,29
2,1154
2,80
2,164
2,992
5,818
0,1033
0,1518
0,1519
0,1163
0,1520
0,1372
9,1403
17,1179
5,1184
0,1187
16,1198
24,668
24,963
25,334
0,20
5,1527
22,1209
0,1211
1,1213
0,1216
0,1065
0,1232
0,1233
20,93
0,1240
0,1241
29,1247
9,224
9,1248
9,1538
5,1265
17,1266
0,645
0,1271
0,1276
0,1278
0,465
