src_id,dst_id
205,0
205,1
205,2
205,3
205,4
205,5
205,6
205,7
205,8
205,9
205,10
205,11
205,12
205,13
205,14
205,15
786,16
48,17
48,18
185,11
673,19
673,20
1027,21
238,22
238,21
238,23
24,24
24,25
24,26
24,27
90,28
640,11
640,29
640,27
291,30
291,31
291,32
291,33
112,9
112,11
112,12
112,15
1120,34
1120,35
1120,36
1120,37
1120,38
860,39
266,40
266,41
56,42
56,43
62,44
62,45
62,46
62,47
62,48
62,49
62,50
62,51
62,52
62,53
22,24
22,54
22,1
22,55
65,56
65,57
65,58
6,59
6,60
6,61
6,10
8,62
8,63
8,64
8,65
8,66
8,67
8,68
8,69
8,70
8,71
8,72
8,73
8,74
8,75
0,54
0,76
0,77
0,78
0,79
0,80
0,81
0,9
0,82
0,83
0,84
0,85
0,86
0,27
17,87
5,62
5,1
5,88
5,89
5,3
5,4
5,7
5,8
5,10
5,11
5,13
5,14
5,90
5,15
33,91
139,15
20,92
20,56
20,57
9,93
9,94
31,95
2,96
2,97
2,98
2,99
2,42
2,100
2,101
2,102
2,103
2,104
2,105
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,73
2,114
2,115
2,115
2,116
278,117
221,118
221,119
221,120
221,121
221,122
221,123
221,124
58,125
58,126
58,127
58,128
58,129
58,130
58,131
58,132
58,133
45,134
45,135
45,136
97,137
97,138
132,24
132,139
132,140
132,141
132,9
132,142
75,62
75,143
75,9
75,144
75,12
75,145
75,146
75,147
75,148
75,136
75,149
75,15
23,139
23,140
23,141
23,74
96,24
96,139
96,140
96,141
96,9
36,150
36,11
36,151
36,152
36,95
11,24
11,153
11,9
11,82
11,154
11,155
11,156
11,157
11,127
11,158
11,159
11,12
11,160
11,129
11,130
11,15
19,161
19,162
19,163
19,164
19,126
19,165
19,130
4,166
4,167
4,142
4,168
4,169
4,68
4,170
4,171
4,172
4,173
4,174
4,175
4,15
53,176
53,177
53,118
53,178
53,179
95,68
95,170
95,171
95,172
95,173
95,174
540,180
540,181
540,182
540,142
228,183
54,184
54,185
223,186
223,187
223,142
104,11
104,188
144,189
94,190
94,191
94,192
94,193
94,194
94,195
94,196
94,74
454,81
454,154
454,175
16,17
16,197
16,198
10,62
10,199
10,200
116,11
116,201
190,202
190,203
190,177
190,121
190,204
190,205
190,206
190,207
190,208
190,209
190,210
190,211
190,212
1418,213
1418,214
1418,205
1418,215
18,216
18,181
18,65
18,66
18,217
18,218
653,167
653,219
169,220
169,129
146,221
14,62
14,1
14,88
14,89
14,3
14,4
14,7
14,8
14,10
14,11
14,13
14,14
14,90
13,62
13,88
13,89
13,3
13,4
13,7
13,8
13,10
13,13
13,14
13,90
532,81
532,154
25,222
25,223
25,162
25,224
25,225
25,226
25,227
87,213
87,228
87,229
7,186
7,187
7,142
43,230
43,231
43,126
43,232
43,75
43,233
152,32
152,234
152,235
152,236
152,237
152,238
152,239
152,240
152,241
128,242
128,243
128,181
108,244
108,245
108,159
108,246
108,175
107,15
79,24
79,9
79,152
79,95
79,12
79,128
79,117
162,247
162,244
40,181
40,248
40,249
40,250
40,251
40,252
40,164
40,126
40,253
196,56
196,57
15,24
15,254
15,255
15,256
15,257
15,258
15,259
15,126
15,69
15,260
3,261
3,262
3,263
3,264
3,24
3,242
3,191
3,265
3,266
3,177
3,267
3,192
3,244
3,268
3,269
3,207
3,270
3,271
3,272
3,273
3,274
3,275
3,276
3,277
3,278
3,279
3,196
3,259
3,280
3,281
3,282
3,283
3,284
3,285
3,286
3,287
3,288
3,289
3,290
3,291
3,74
3,292
3,293
3,294
3,295
3,296
3,185
3,297
3,298
3,299
3,300
3,211
3,212
91,150
91,152
91,95
91,301
51,302
51,303
51,304
51,305
51,306
51,307
51,1
51,308
51,309
51,310
51,184
51,311
51,312
51,313
51,162
1416,314
21,213
21,11
343,1
343,315
343,316
