src_id,dst_id
4247,0
4247,1
4247,2
4247,3
4247,4
4247,5
4247,6
896,1
896,2
896,5
5341,7
5342,8
5343,9
5344,10
4561,11
4464,11
896,12
5345,14
4249,14
5346,15
896,16
896,15
4247,16
4247,15
5314,17
4249,18
896,19
4247,19
4248,20
5347,21
5348,20
5349,22
4254,23
4310,23
4378,23
5350,24
4247,1291
896,27
4247,28
1903,29
4247,30
5351,32
71,33
4247,1292
4247,1295
720,39
720,38
5312,40
5352,41
5333,43
5353,44
5353,45
896,41
5344,46
4246,47
5310,48
5310,49
4249,50
4247,1296
4247,53
5346,54
4464,55
5354,55
4464,56
5354,56
5355,20
896,58
4247,58
4725,1297
5356,60
5310,39
5355,62
4247,1298
5346,1299
5346,1300
896,66
5357,1301
5358,69
896,70
5346,71
5346,72
5359,74
5348,75
5348,1303
896,77
896,78
4247,78
5346,78
4247,79
4247,80
5346,80
896,82
5347,83
5348,84
5348,85
896,86
4247,86
4247,1304
4526,87
5360,88
5360,89
4249,90
5360,90
4247,91
896,92
4247,94
4247,95
5346,1305
5361,60
4247,98
4247,99
218,100
5352,100
4525,100
5353,88
5346,42
5360,42
4247,103
5362,104
5362,103
896,106
4247,106
4247,107
4247,108
4247,109
4247,110
4247,111
4247,114
5348,119
5348,92
5348,120
5363,121
5346,122
5351,123
5351,124
4526,39
5364,1309
218,126
5365,126
5360,127
5360,128
5360,129
896,130
4247,1310
4247,1311
4247,1312
5366,134
5304,134
5346,1313
5367,41
4254,76
454,76
454,136
4344,76
4247,1314
4247,139
4247,1315
4247,141
4247,142
896,1315
896,141
896,142
4247,143
896,144
4247,144
5160,145
4247,146
5310,147
4247,148
4249,149
865,1316
865,20
4247,151
5341,152
5368,45
5346,56
4247,153
5346,154
5349,155
5346,156
5346,157
5369,158
5369,159
5369,160
4247,161
5360,137
5370,87
5346,162
5346,163
5362,164
5362,165
5362,162
5362,163
5341,166
5341,13
896,168
896,169
3898,170
4561,1317
4247,172
4247,173
5371,174
720,174
4789,175
5372,87
4247,178
896,178
4247,179
5343,180
5343,83
5346,182
5370,183
4626,185
4247,186
4377,186
4247,187
4247,1318
4800,1319
4800,1320
4800,190
