src_id,dst_id
22,0
22,1
112,1
22,2
11,2
7,2
266,2
8,2
58,2
36,2
54,2
18,2
108,2
139,2
10,2
22,3
22,4
31,4
43,4
51,4
112,4
2,4
4,4
169,4
40,4
22,5
22,6
22,7
11,7
22,8
205,8
75,8
11,8
24,8
291,8
0,8
278,8
454,8
22,9
3,9
22,10
223,10
205,10
9,10
31,10
45,10
75,10
11,10
16,10
25,10
7,10
43,10
152,10
3,10
51,10
21,10
1027,10
238,10
24,10
90,10
640,10
291,10
112,10
266,10
56,10
62,10
65,10
8,10
0,10
2,10
278,10
58,10
97,10
132,10
23,10
96,10
36,10
19,10
4,10
53,10
95,10
540,10
228,10
54,10
104,10
94,10
454,10
116,10
190,10
18,10
169,10
14,10
13,10
532,10
87,10
128,10
108,10
107,10
79,10
162,10
40,10
196,10
15,10
165,10
28,10
91,10
1416,10
343,10
48,10
185,10
17,10
5,10
33,10
139,10
20,10
72,10
360,10
10,10
1418,10
11,11
540,11
54,11
18,11
108,11
7,12
223,13
223,14
75,15
11,15
0,15
104,15
15,15
343,15
860,16
8,16
97,16
18,16
343,16
16,17
6,17
2,17
97,17
23,17
95,17
786,17
9,18
31,18
75,18
11,18
25,18
7,18
43,18
112,18
56,18
8,18
58,18
23,18
36,18
4,18
228,18
54,18
18,18
169,18
87,18
108,18
40,18
15,18
33,18
72,18
205,19
9,19
90,19
58,19
104,19
146,19
185,19
75,20
786,21
786,22
786,23
48,24
1418,25
1418,26
786,27
786,28
45,29
75,30
786,30
8,31
14,31
5,31
54,32
1418,32
786,33
107,34
91,34
16,35
223,36
205,36
75,36
25,36
43,36
1027,36
65,36
58,36
97,36
87,36
196,36
15,36
185,36
16,37
62,37
65,37
54,37
162,37
6,38
23,38
95,38
94,39
108,40
190,41
2,42
23,43
95,43
18,44
33,44
205,45
53,45
54,45
33,45
72,45
860,46
10,47
31,48
72,48
65,49
8,50
6,51
2,51
228,52
75,53
51,53
238,53
24,53
97,53
95,53
144,53
169,53
33,53
1418,53
169,54
3,55
0,55
169,55
165,55
1417,55
228,56
144,56
94,56
223,57
7,57
223,58
1027,58
238,58
223,59
7,59
223,60
223,61
18,61
